station_cleaned,station_fixed
YORK MILLS CENTRE TRAC,NA
BLOOR-DANFORTH SUBWAY,BD
N/O DAVISVILLE TO N/O,NA
PAPE TO ST GEORGE,"PAPE STATION, ST GEORGE BD STATION"
UNION,UNION STATION
OSGOODE POCKET,NA
VARIOUS,NA
EGLINTON TO LAWRENCE S,"EGLINTON STATION, LAWRENCE STATION"
SHEPPARD WEST TO WILSO,"SHEPPARD WEST STATION, WILSON STATION"
VICTORIA PARK TO KENNE,"VICTORIA PARK STATION, KENNEDY BD STATION"
QUEEN STATION - EAST S,NA
KEELE TO DUNDAS WEST,"KEELE STATION, DUNDAS WEST STATION"
ST GEORGE TO BROADVIEW,"ST GEORGE BD STATION, BROADVIEW STATION"
YONGE UNIVERSTIY SUBWA,YU
KENNEDY TO MCCOWAN,"KENNEDY SRT STATION, MCCOWAN STATION"
WILSON TO ST CLAIR WES,"WILSON STATION, ST CLAIR WEST STATION"
YONGE AND BLOOR,BLOOR-YONGE STATION
DAVISVILLE BUILD-UP,NA
BROADVIEW TO YONGE,"BROADVIEW STATION, YONGE BD STATION"
NORTHBOUND TO LAWRENCE,NA
BAY LOWER STATION,BAY STATION
KIPLING TO KENNEDY,"KIPLING STATION, KENNEDY BD STATION"
DAVISVILLE TO N/O BLOO,"DAVISVILLE STATION, BLOOR STATION"
KING TO UNION,"KING STATION, UNION STATION"
BLOOR - DANFORTH LINE,BD
ST GEORGE BD STATION -,ST GEORGE BD STATION
FINCH TO LAWRENCE STAT,"FINCH STATION, LAWRENCE STATION"
GREENWOOD COMPLEX,NA
BLOOR TO OSGOODE STATI,"BLOOR STATION, OSGOODE STATION"
KIPLING TO ISLINGTON,"KIPLING STATION, ISLINGTON STATION"
BESSARIAN STATION,BESSARION STATION
SYSTEMWIDE,ALL
KENNEDY SRT STATION [A,KENNEDY SRT STATION
FINCH TO DOWNSVIEW,"FINCH STATION, DOWNSVIEW PARK STATION"
BLOOR DANFORTH LINE,BD
KIPLING TO ROYAL YORK,"KIPLING STATION, ROYAL YORK STATION"
KIPLING STATION TO KEN,"KIPLING STATION, KENNEDY BD STATION"
YONGE/UNIVERSITY,YU
ST GEORGE STATION,ST GEORGE STATION
QUEENS QUAY STATION,NA
TRANSIT CONTROL,NA
SHEPPARD WYE,NA
FINCH TO EGLINTON STAT,"FINCH STATION, EGLINTON STATION"
"UNION, DOWNSVIEW PARK,",NA
UNION STATION - SALES,NA
KENNEDY PLATFORM 1,NA
LAWRENCE TO BLOOR STAT,NA
QUEENS QUAY ELEVATOR,NA
VICTORIA PARK,NA
WELBECK EMERGENCY EXIT,NA
FINCH STATION BOOTH 2,NA
ST CLAIR WEST,NA
SHEPPARD WEST TO ST C,NA
ST CLAIR TO UNION,NA
SPADINA TO UNION STATI,NA
ST CLAIR WEST TO EGLIN,NA
CLANTON PARK EMERGENCY,NA
